"id","name"
1833,"Noblewoman A and Count G"
474,"Rainerius/Rangerio, bishop of Lucca"
2434,"William of Holland"
2235,"William of Holland, king of the Romans"
462,"Hugh, bishop of Die, archbishop of Lyon"
464,"Hugh bishop of Die, archbishop of Lyon"
2233,"William, king of the Romans, and Floris"
2232,"Peter, bishop of Albano"
118,"Gerbert of Aurillac, archbishop of Reims"
2238,"Henry, duke of Lothringen and Brabant"
2244,"Nicholas, bishop of Cambrai and Peter, bishop of Chalons-sur-Marne"
2247,"Innocent IV, Pope"
2252,"Henry III, bishop of Liege"
2448,"Godfried of Kruiningen"
784,"Anselm, archsbishop of Canterbury"
1848,"Anselm of Bec"
1850,"Gilbert Foliot"
1859,"Bishops"
1861,"and Richild"
1860,"Caesaria, abbess of Arles"
1857,"the bishops"
1864,"Emperor Justin II and Empress Sophia"
1866,"Artachis"
1935,"Amalfred/Hamalafred"
2454,"Dirk/Theodore of Teylingen"
1941,"and Radegund"
2452,"Henry, bishop of Utrecht"
1947,"Radegund"
242,"Reinhard, abbot of Reinhausen"
244,"Fulbert, abbot of Laach"
2290,"Lambert of Waasten"
340,"Emma, queen"
334,"Adalbero of Reims, archbishop of Reims"
132,"Otto III, to his grandmother"
256,"Archbishop Humbert, Boniface and others"
38,"John XIII, pope"
56,"Lanfranc, archbishop of Canterbury"
78,"king Mieszko II of Poland"
2309,"public and monastery of Dulcis Vallis"
2671,"Thomas Becket, archbishop of Canterbury"
2531,"and Henry, marquis"
2617,"Childebert, king of the Franks"
1332,"Matthew Paris"
2702,"Leo I, Pope"
2704,"Pelagius"
2709,"and Bernard of Comminges"
2716,"and her daughters, Matilda and Petronilla"
2715,"Knights of Murel"
2721,"Men of Samatano"
2724,"Arnalt Mascaron"
2732,"and Peter of Aragon"
2733,"Men of Montpelliers"
2735,"Peter of Aragon"
2736,"William, bishop of Maguelone and 12 men on Montpellier"
2737,"Pontius Peter of Agantico"
2675,"""Idonea"""
2712,"Bernard of Comminges"
2718,"Baron and Knights of Rieumes"
416,"Thomas Becket"
2748,"City of Montpellier"
2750,"People of Montpellier"
106,"abbot Gozpert"
2820,"William of Apremont"
2760,"Raymond, bishop of l'Ouche, and Arnald, bishop elect of Narbonne"
2810,"Simon of Clermont"
2824,"Ferdinand/Ferrand of Portugal, Count of Flanders"
2827,"and Thibaut, count of Champagne"
2765,"Peter the Deacon"
2769,"Innocent II, pope"
2843,"and Thibaut"
2793,"Odo of Quarnai"
2796,"Odoard of Aunay"
2799,"Walter of Vignory"
2802,"Henry, count of Grandpre"
2805,"Thibaut, duke of Lorraine"
2814,"William of Joinville, Archbishop of Reims"
2817,"Peter, abbot of St. Denis"
2830,"Philip, King of France"
2845,"John of Brienne, king of Jerusalem"
2840,"and Bishop Durand of Chalon and Countess Beatrice of Chalon"
2853,"Thibaut, count of Troyes"
2855,"Guido of Montreal and his brother"
2857,"Hugo, lord of Antigny"
2888,"mayor and provost of Dijon and provost of Talant"
2902,"her provosts and bailiffs"
2937,"and her son, Hugh, duke of Burgundy"
2938,"public and Thibaut, count of Champagne"
3024,"Raymond Trencavel, viscount of Beziers"
3028,"William of Durban"
3037,"Bernard, son of Faith"
3041,"Barral, lord  of Baux"
3047,"William of Radico"
3046,"and Bernard Ato V"
3048,"Eleazar of Sauve"
3053,"Peter Raymond of Anagia"
3056,"Pons of Vezenobre"
3076,"Raymond and Almodis, count and countess of Barcelona"
3063,"Raymond, count of Razes"
2522,"Theobald, archbishop of Canterbury"
1666,"Gregory IX,, pope"
3003,"and Arviers of Nuits"
3043,"Bernard Ato IV"
3055,"Durand Alfred of Bedillan"
3051,"William of Gallina"
3059,"and Eleazar of Sauve"
3072,"William, count of Cerdagne"
3069,"Roger and Raymond Batallia"
3077,"Geoffrey II, bishop of Chartres"
152,"Adela, countess of Blois, Chartres, and Meaux"
124,"the brothers of Feuchtwang"
2838,"To her friends and faithful."
2016,"Gregory VII"
1658,"Francis"
1002,"Aldobrandino of Siena"
690,"Hugh, abbot of Cluny"
3081,"and Baldwin"
3084,"Baldwin, and"
3098,"Baldwin and"
3115,"Amalric and"
0,"Thibaut de Navarre"
0,"Robert of Artois"
0,"Marie, empress of Constantinople"
0,"Henry III, king of England"
0,"Gregory IX, pope"
0,"Hernaud de Niole"
